Disease,Treatment,Tablet Name,Dosage,Time Taken,Effect Time Duration,Which Age,Company,Purity,Side Effects,Price
Bacterial Infection,Antibiotic Therapy,Azithromycin,2.5 mg,Once daily - Night,12 hours,13-18,TrueMed Industries,96.3%,Constipation,₹724.82
Cough & Cold,Antitussive Therapy,Levocetirizine Combo,5 mg,Thrice daily - After meals,8 hours,13-18,Greenfield Biotech,99.2%,Dizziness,₹530.23
Vitamin D Deficiency,Supplementation,Cholecalciferol,100 mg,Before meals,2 hours,19-35,Greenfield Biotech,95.2%,"Dizziness, Drowsiness, Blurred vision",₹59.82
Hypertension,Diuretic Therapy,Losartan,10 mg,Once daily - Night,18 hours,13-18,Wellspring Rx,97.0%,"Drowsiness, Mild rash",₹319.59
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,750 mg,Thrice daily - After meals,8 hours,0-12,PurePath Pharma,99.8%,Headache,₹774.35
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,25 mg,Twice daily - Morning & Night,12 hours,19-35,Cygnus Life Sciences,95.8%,"Stomach upset, Blurred vision",₹398.42
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,650 mg,Once daily - Night,6 hours,51-65,MedLife Labs,97.2%,"Insomnia, Constipation",₹337.68
Skin Infection (Fungal),Antifungal Therapy,Fluconazole,50 mg,Thrice daily - After meals,8 hours,65+,Cygnus Life Sciences,95.3%,"Dizziness, Nausea, Constipation",₹283.34
Type 2 Diabetes,Oral Hypoglycemic Therapy,Glimepiride,750 mg,Once daily - Morning,8 hours,0-12,Vitacore Pharmaceuticals,97.8%,"Diarrhea, Drowsiness, Nausea",₹463.80
Acidity / GERD,Antacid Therapy,Pantoprazole,5 mg,Every 6 hours,8 hours,36-50,Cygnus Life Sciences,95.2%,"Mild rash, Fatigue, Nausea",₹486.09
Depression,Antidepressant Therapy,Fluoxetine,1000 mg,Once daily - Night,10 hours,36-50,Sunrise Pharma,95.9%,"Constipation, Mild rash",₹708.87
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,200 mg,Thrice daily - After meals,12 hours,36-50,PurePath Pharma,99.8%,Mild rash,₹532.46
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,2.5 mg,Thrice daily - After meals,6 hours,51-65,TrueMed Industries,95.7%,"Insomnia, Headache",₹24.94
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,300 mg,Once weekly,18 hours,0-12,Sunrise Pharma,95.1%,"Dizziness, Insomnia",₹804.43
Chronic Pain,Analgesic Therapy,Tramadol,250 mg,Before meals,18 hours,19-35,MedLife Labs,99.5%,"Dizziness, Drowsiness",₹374.16
Type 2 Diabetes,Oral Hypoglycemic Therapy,Glimepiride,25 mg,Thrice daily - After meals,18 hours,0-12,Cygnus Life Sciences,97.2%,"Nausea, Dry mouth",₹345.50
Headache,Analgesic Therapy,Naproxen,2.5 mg,Once daily - Morning,4 hours,36-50,PurePath Pharma,98.7%,"Constipation, Dizziness, Loss of appetite",₹736.41
Depression,Antidepressant Therapy,Escitalopram,5 mg,As needed (SOS),10 hours,65+,Sunrise Pharma,96.9%,Stomach upset,₹725.73
Chronic Pain,Analgesic Therapy,Paracetamol,500 mg,After meals,8 hours,0-12,Wellspring Rx,97.0%,Constipation,₹242.02
Arthritis,NSAID Therapy,Diclofenac,5 mg,Every 6 hours,2 hours,0-12,Wellspring Rx,98.6%,None reported,₹106.54
Skin Infection (Fungal),Antifungal Therapy,Clotrimazole,200 mg,Every 6 hours,24 hours,13-18,Nova Health,98.8%,Dry mouth,₹20.47
Fever,Antipyretic Therapy,Aspirin,25 mg,After meals,12 hours,13-18,Zenith Biocare,98.6%,"Nausea, Stomach upset",₹110.94
Urinary Tract Infection,Antibiotic Therapy,Amoxicillin,25 mg,Twice daily - Morning & Night,2 hours,36-50,Zenith Biocare,97.0%,Fatigue,₹717.29
Acidity / GERD,Proton Pump Inhibitor,Omeprazole,150 mg,Once daily - Morning,24 hours,51-65,Nova Health,99.2%,"Constipation, Insomnia",₹774.70
Osteoporosis,Bisphosphonate Therapy,Calcium + Vitamin D3,10 mg,Thrice daily - After meals,6 hours,19-35,Greenfield Biotech,99.2%,Nausea,₹312.88
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,100 mg,After meals,18 hours,65+,Nova Health,96.8%,"Diarrhea, Dizziness",₹173.67
Iron Deficiency Anemia,Supplementation,Ferrous Ascorbate,200 mg,Every 8 hours,24 hours,19-35,Horizon Meds,98.1%,"Fatigue, Nausea",₹240.94
Arthritis,NSAID Therapy,Diclofenac,100 mg,Every 8 hours,10 hours,51-65,Horizon Meds,99.5%,"Mild rash, Headache, Insomnia",₹425.69
Urinary Tract Infection,Antibiotic Therapy,Nitrofurantoin,250 mg,Once daily - Morning,8 hours,19-35,Zenith Biocare,96.8%,Blurred vision,₹601.92
Common Cold,Rest & Hydration,Chlorpheniramine,1000 mg,After meals,2 hours,36-50,Nova Health,97.9%,"Mild rash, Diarrhea",₹650.20
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,150 mg,Thrice daily - After meals,10 hours,65+,TrueMed Industries,98.3%,"Constipation, Blurred vision, Mild rash",₹567.24
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,5 mg,Twice daily - Morning & Night,24 hours,51-65,Silver Cross Pharma,97.5%,Insomnia,₹590.04
Arthritis,NSAID Therapy,Naproxen,100 mg,Twice daily - Morning & Night,10 hours,13-18,Silver Cross Pharma,98.7%,Loss of appetite,₹849.30
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,150 mg,Before meals,24 hours,51-65,Nova Health,98.3%,"Diarrhea, Nausea",₹769.67
Hypertension,Diuretic Therapy,Losartan,10 mg,After meals,8 hours,36-50,MedLife Labs,95.9%,"None reported, Constipation, Headache",₹684.82
Headache,Analgesic Therapy,Ibuprofen,100 mg,Before meals,12 hours,36-50,Cygnus Life Sciences,96.2%,"Blurred vision, Dizziness",₹203.43
Hypertension,Beta Blocker Therapy,Hydrochlorothiazide,1000 mg,Thrice daily - After meals,10 hours,36-50,Vitacore Pharmaceuticals,95.6%,"Dizziness, Headache, Constipation",₹508.78
Acidity / GERD,Proton Pump Inhibitor,Omeprazole,500 mg,As needed (SOS),18 hours,13-18,MedLife Labs,99.7%,Diarrhea,₹526.98
Asthma,Steroid Inhalation,Montelukast,750 mg,Once daily - Morning,8 hours,65+,Wellspring Rx,97.4%,"Insomnia, Headache, Stomach upset",₹467.74
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,1000 mg,After meals,6 hours,65+,Horizon Meds,96.3%,Drowsiness,₹668.96
Type 2 Diabetes,Oral Hypoglycemic Therapy,Metformin,200 mg,Once daily - Morning,6 hours,51-65,Nova Health,99.0%,"None reported, Blurred vision",₹470.79
Chronic Pain,Analgesic Therapy,Tramadol,250 mg,Every 6 hours,18 hours,51-65,TrueMed Industries,97.3%,"Blurred vision, Dry mouth",₹763.29
Skin Infection (Fungal),Antifungal Therapy,Fluconazole,500 mg,Thrice daily - After meals,2 hours,13-18,Nova Health,98.6%,Loss of appetite,₹364.32
High Cholesterol,Statin Therapy,Simvastatin,10 mg,Twice daily - Morning & Night,4 hours,13-18,Sunrise Pharma,97.3%,"Drowsiness, Nausea",₹713.41
Cough & Cold,Antitussive Therapy,Dextromethorphan,2.5 mg,Twice daily - Morning & Night,18 hours,51-65,Nova Health,95.4%,"Diarrhea, Insomnia, Dry mouth",₹378.48
Vitamin D Deficiency,Supplementation,Cholecalciferol,5 mg,After meals,8 hours,13-18,MedLife Labs,95.4%,"Insomnia, Constipation, None reported",₹332.24
Migraine,Triptan Therapy,Sumatriptan,25 mg,Every 6 hours,4 hours,51-65,Zenith Biocare,99.6%,"Mild rash, Diarrhea",₹174.23
Cough & Cold,Antitussive Therapy,Levocetirizine Combo,300 mg,Thrice daily - After meals,24 hours,13-18,Vitacore Pharmaceuticals,96.9%,Diarrhea,₹91.87
Arthritis,NSAID Therapy,Naproxen,200 mg,Every 8 hours,10 hours,51-65,Cygnus Life Sciences,98.6%,Fatigue,₹826.59
Allergy,Antihistamine Therapy,Loratadine,500 mg,As needed (SOS),8 hours,51-65,Horizon Meds,96.1%,Dizziness,₹271.07
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,2.5 mg,Before meals,2 hours,13-18,Nova Health,97.2%,"Dizziness, Diarrhea",₹452.24
Type 2 Diabetes,Oral Hypoglycemic Therapy,Glimepiride,300 mg,Once weekly,4 hours,13-18,Silver Cross Pharma,97.4%,Insomnia,₹733.81
Asthma,Steroid Inhalation,Budesonide,150 mg,Thrice daily - After meals,10 hours,13-18,Zenith Biocare,96.0%,"Nausea, Blurred vision, Loss of appetite",₹332.63
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,500 mg,Every 6 hours,24 hours,65+,Vitacore Pharmaceuticals,95.6%,"None reported, Fatigue, Constipation",₹569.56
Migraine,Analgesic Therapy,Sumatriptan,650 mg,As needed (SOS),2 hours,65+,PurePath Pharma,96.5%,"Headache, Loss of appetite, Constipation",₹847.48
Vitamin D Deficiency,Supplementation,Cholecalciferol,100 mg,Every 6 hours,24 hours,13-18,Greenfield Biotech,95.5%,Nausea,₹473.86
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,200 mg,Before meals,12 hours,19-35,Vitacore Pharmaceuticals,95.5%,"Diarrhea, Headache",₹679.18
Insomnia,Sedative Therapy,Doxylamine,500 mg,As needed (SOS),8 hours,65+,Zenith Biocare,96.9%,Constipation,₹388.12
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,1000 mg,Once daily - Morning,10 hours,36-50,PurePath Pharma,98.0%,"Drowsiness, Nausea",₹331.46
Bacterial Infection,Antibiotic Therapy,Azithromycin,10 mg,Thrice daily - After meals,18 hours,36-50,Vitacore Pharmaceuticals,98.0%,"Blurred vision, Fatigue, Drowsiness",₹344.69
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,250 mg,Every 6 hours,24 hours,0-12,PurePath Pharma,95.2%,"Nausea, Constipation, Fatigue",₹345.97
Diarrhea,Antimotility / Rehydration Therapy,Loperamide,50 mg,After meals,6 hours,0-12,Wellspring Rx,98.4%,"Insomnia, Loss of appetite, Stomach upset",₹569.96
Arthritis,NSAID Therapy,Naproxen,1000 mg,As needed (SOS),8 hours,19-35,Vitacore Pharmaceuticals,99.3%,"Drowsiness, Loss of appetite, Fatigue",₹688.33
Depression,Antidepressant Therapy,Escitalopram,10 mg,Once daily - Night,10 hours,13-18,PurePath Pharma,96.9%,"Headache, Drowsiness",₹814.98
Hypertension,ACE Inhibitor Therapy,Metoprolol,5 mg,Every 6 hours,4 hours,13-18,Sunrise Pharma,95.4%,Nausea,₹383.24
Acidity / GERD,Antacid Therapy,Ranitidine,150 mg,Before meals,8 hours,0-12,Cygnus Life Sciences,96.7%,"Constipation, Mild rash, Fatigue",₹22.47
Anxiety Disorder,Anxiolytic Therapy,Buspirone,1000 mg,Once weekly,18 hours,13-18,PurePath Pharma,98.5%,"Dry mouth, None reported, Nausea",₹562.77
Arthritis,NSAID Therapy,Diclofenac,10 mg,Twice daily - Morning & Night,4 hours,65+,Horizon Meds,95.6%,Headache,₹648.12
Arthritis,NSAID Therapy,Naproxen,10 mg,After meals,2 hours,19-35,TrueMed Industries,96.7%,None reported,₹328.46
Migraine,Analgesic Therapy,Sumatriptan,2.5 mg,As needed (SOS),8 hours,65+,PurePath Pharma,97.3%,"Dizziness, None reported",₹142.05
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,2.5 mg,Once weekly,6 hours,0-12,MedLife Labs,96.9%,Loss of appetite,₹42.46
Headache,Analgesic Therapy,Paracetamol,150 mg,Before meals,2 hours,0-12,Sunrise Pharma,97.5%,"Headache, Blurred vision, Dizziness",₹613.38
Bacterial Infection,Antibiotic Therapy,Doxycycline,1000 mg,Thrice daily - After meals,18 hours,13-18,Silver Cross Pharma,95.5%,Diarrhea,₹501.66
Fever,Antipyretic Therapy,Paracetamol,50 mg,Before meals,6 hours,19-35,Sunrise Pharma,95.5%,"Blurred vision, Diarrhea, Dry mouth",₹32.72
Acidity / GERD,Proton Pump Inhibitor,Ranitidine,2.5 mg,As needed (SOS),12 hours,13-18,Sunrise Pharma,97.6%,"Headache, None reported, Nausea",₹72.15
Bacterial Infection,Antibiotic Therapy,Azithromycin,1000 mg,Thrice daily - After meals,10 hours,51-65,Horizon Meds,97.4%,"Constipation, Loss of appetite",₹263.38
Headache,Analgesic Therapy,Naproxen,150 mg,Once weekly,8 hours,13-18,Horizon Meds,95.8%,"Dizziness, Diarrhea",₹43.45
Hypertension,ACE Inhibitor Therapy,Amlodipine,300 mg,Every 6 hours,12 hours,36-50,Zenith Biocare,97.3%,None reported,₹461.57
High Cholesterol,Statin Therapy,Rosuvastatin,750 mg,Before meals,8 hours,0-12,Silver Cross Pharma,95.0%,"Blurred vision, Dizziness",₹523.98
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,200 mg,As needed (SOS),12 hours,0-12,MedLife Labs,99.0%,Dry mouth,₹473.30
Urinary Tract Infection,Antibiotic Therapy,Ciprofloxacin,50 mg,As needed (SOS),2 hours,19-35,Vitacore Pharmaceuticals,97.0%,None reported,₹229.46
Urinary Tract Infection,Antibiotic Therapy,Nitrofurantoin,650 mg,Every 8 hours,4 hours,0-12,Horizon Meds,96.4%,"Insomnia, Nausea, Loss of appetite",₹218.35
Urinary Tract Infection,Antibiotic Therapy,Nitrofurantoin,2.5 mg,As needed (SOS),4 hours,36-50,MedLife Labs,99.4%,Nausea,₹837.55
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,650 mg,Before meals,24 hours,19-35,Wellspring Rx,97.4%,Loss of appetite,₹8.02
Vitamin D Deficiency,Supplementation,Cholecalciferol,50 mg,Every 8 hours,4 hours,0-12,Nova Health,99.8%,"Nausea, None reported",₹680.23
Chronic Pain,Analgesic Therapy,Diclofenac,100 mg,Once weekly,2 hours,36-50,Vitacore Pharmaceuticals,98.9%,"Dry mouth, Insomnia",₹268.92
High Cholesterol,Statin Therapy,Atorvastatin,250 mg,After meals,10 hours,36-50,MedLife Labs,98.5%,"Dry mouth, Headache",₹81.72
Fever,Antipyretic Therapy,Aspirin,250 mg,Every 6 hours,10 hours,19-35,Cygnus Life Sciences,98.6%,Loss of appetite,₹407.54
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,50 mg,Twice daily - Morning & Night,8 hours,65+,Cygnus Life Sciences,97.6%,"Constipation, Blurred vision",₹612.38
Arthritis,NSAID Therapy,Ibuprofen,5 mg,Thrice daily - After meals,24 hours,19-35,Sunrise Pharma,95.9%,"Nausea, Mild rash",₹689.71
Urinary Tract Infection,Antibiotic Therapy,Amoxicillin,750 mg,After meals,2 hours,51-65,Wellspring Rx,96.4%,"Headache, Blurred vision, None reported",₹784.07
Arthritis,NSAID Therapy,Naproxen,25 mg,Once daily - Morning,2 hours,51-65,Zenith Biocare,98.1%,"Constipation, Stomach upset",₹258.99
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,250 mg,As needed (SOS),12 hours,65+,Silver Cross Pharma,97.2%,"Mild rash, Diarrhea",₹703.72
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,25 mg,Before meals,4 hours,65+,Wellspring Rx,99.4%,Headache,₹509.39
Osteoporosis,Bisphosphonate Therapy,Alendronate,200 mg,As needed (SOS),18 hours,19-35,Cygnus Life Sciences,97.9%,"Nausea, Mild rash, Diarrhea",₹376.54
Asthma,Steroid Inhalation,Salbutamol,500 mg,Once daily - Morning,4 hours,0-12,MedLife Labs,98.7%,"Headache, Constipation",₹742.20
Hypertension,Diuretic Therapy,Metoprolol,750 mg,Thrice daily - After meals,4 hours,19-35,Silver Cross Pharma,96.1%,"Dry mouth, Blurred vision",₹162.95
Common Cold,Symptomatic Relief,Phenylephrine Combo,50 mg,Every 6 hours,24 hours,0-12,MedLife Labs,98.2%,"Blurred vision, Dry mouth",₹105.76
Acidity / GERD,Antacid Therapy,Ranitidine,250 mg,Every 8 hours,8 hours,0-12,TrueMed Industries,99.3%,"Fatigue, Insomnia, Mild rash",₹338.10
Bacterial Infection,Antibiotic Therapy,Ciprofloxacin,650 mg,Once daily - Morning,2 hours,13-18,Greenfield Biotech,97.3%,"Constipation, Headache, Diarrhea",₹42.02
Chronic Pain,Analgesic Therapy,Paracetamol,650 mg,Twice daily - Morning & Night,12 hours,13-18,Greenfield Biotech,97.6%,"Constipation, Drowsiness, Mild rash",₹732.45
Urinary Tract Infection,Antibiotic Therapy,Nitrofurantoin,750 mg,Every 8 hours,24 hours,36-50,Nova Health,99.8%,"Drowsiness, Diarrhea",₹721.75
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,500 mg,Once weekly,6 hours,51-65,TrueMed Industries,97.5%,"Blurred vision, Loss of appetite, Mild rash",₹720.68
Depression,Antidepressant Therapy,Escitalopram,25 mg,As needed (SOS),8 hours,65+,Cygnus Life Sciences,96.0%,"Loss of appetite, Blurred vision, Headache",₹440.02
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,750 mg,Every 8 hours,2 hours,13-18,Nova Health,96.3%,"Loss of appetite, Dry mouth",₹733.57
Insomnia,Sedative Therapy,Doxylamine,25 mg,Every 8 hours,8 hours,65+,PurePath Pharma,95.8%,"Blurred vision, Drowsiness",₹392.80
Arthritis,NSAID Therapy,Naproxen,100 mg,As needed (SOS),2 hours,19-35,PurePath Pharma,95.7%,"Headache, None reported, Constipation",₹765.34
Osteoporosis,Supplementation,Calcium + Vitamin D3,300 mg,As needed (SOS),24 hours,51-65,Sunrise Pharma,95.4%,"Insomnia, Dizziness, Loss of appetite",₹159.75
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,200 mg,Thrice daily - After meals,24 hours,0-12,TrueMed Industries,98.9%,"Nausea, Constipation",₹226.20
Arthritis,NSAID Therapy,Ibuprofen,5 mg,Thrice daily - After meals,12 hours,13-18,Greenfield Biotech,98.8%,"None reported, Constipation",₹643.04
Common Cold,Symptomatic Relief,Phenylephrine Combo,100 mg,Every 8 hours,6 hours,51-65,Greenfield Biotech,99.3%,"Headache, Mild rash, Nausea",₹783.18
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,50 mg,Every 6 hours,4 hours,0-12,Zenith Biocare,95.3%,"Nausea, None reported",₹725.05
Bacterial Infection,Antibiotic Therapy,Ciprofloxacin,100 mg,Once weekly,2 hours,51-65,Zenith Biocare,96.6%,"Fatigue, Dizziness",₹706.79
Fever,Antipyretic Therapy,Ibuprofen,1000 mg,Once daily - Night,8 hours,65+,Vitacore Pharmaceuticals,97.6%,"None reported, Mild rash, Dizziness",₹166.56
Depression,Antidepressant Therapy,Escitalopram,100 mg,Before meals,8 hours,36-50,Horizon Meds,99.3%,"None reported, Nausea, Stomach upset",₹133.94
Chronic Pain,Analgesic Therapy,Diclofenac,100 mg,After meals,10 hours,13-18,Silver Cross Pharma,96.4%,"Dizziness, Headache",₹115.25
Depression,Antidepressant Therapy,Escitalopram,1000 mg,After meals,24 hours,0-12,Cygnus Life Sciences,98.7%,"None reported, Dizziness, Stomach upset",₹295.65
Allergy,Antihistamine Therapy,Cetrizine,250 mg,Before meals,18 hours,19-35,MedLife Labs,98.1%,"Dizziness, None reported, Headache",₹478.94
Acidity / GERD,Antacid Therapy,Ranitidine,150 mg,After meals,4 hours,51-65,Silver Cross Pharma,97.1%,Mild rash,₹425.77
Arthritis,NSAID Therapy,Diclofenac,5 mg,Thrice daily - After meals,4 hours,51-65,Silver Cross Pharma,97.7%,"Fatigue, Stomach upset",₹137.77
Urinary Tract Infection,Antibiotic Therapy,Amoxicillin,650 mg,After meals,6 hours,51-65,Vitacore Pharmaceuticals,99.8%,Dry mouth,₹572.42
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,200 mg,Every 8 hours,10 hours,36-50,Vitacore Pharmaceuticals,95.5%,"Constipation, Insomnia",₹669.35
Headache,Analgesic Therapy,Paracetamol,1000 mg,Once daily - Morning,18 hours,13-18,Cygnus Life Sciences,96.6%,Blurred vision,₹598.33
Fever,Antipyretic Therapy,Paracetamol,10 mg,Once daily - Morning,6 hours,51-65,Vitacore Pharmaceuticals,99.1%,"None reported, Dizziness",₹171.01
Vitamin D Deficiency,Supplementation,Cholecalciferol,2.5 mg,Twice daily - Morning & Night,12 hours,0-12,MedLife Labs,98.6%,"Stomach upset, Dry mouth",₹422.01
Asthma,Bronchodilator Therapy,Salbutamol,1000 mg,Once weekly,4 hours,65+,MedLife Labs,96.8%,Drowsiness,₹793.58
Bacterial Infection,Antibiotic Therapy,Amoxicillin,650 mg,Thrice daily - After meals,2 hours,19-35,TrueMed Industries,99.2%,Insomnia,₹24.30
High Cholesterol,Statin Therapy,Rosuvastatin,150 mg,Once daily - Morning,4 hours,36-50,Cygnus Life Sciences,95.6%,"Headache, Fatigue",₹404.04
Insomnia,Sedative Therapy,Melatonin,200 mg,Before meals,18 hours,65+,Cygnus Life Sciences,96.3%,"Insomnia, Diarrhea",₹100.29
Depression,Antidepressant Therapy,Sertraline,1000 mg,Twice daily - Morning & Night,6 hours,0-12,Silver Cross Pharma,97.8%,"Blurred vision, Drowsiness",₹622.19
Acidity / GERD,Proton Pump Inhibitor,Omeprazole,2.5 mg,Every 6 hours,12 hours,36-50,MedLife Labs,99.5%,"Nausea, Dizziness",₹336.67
Chronic Pain,Analgesic Therapy,Diclofenac,5 mg,Before meals,12 hours,13-18,PurePath Pharma,98.1%,"Headache, Dry mouth",₹774.92
Skin Infection (Fungal),Antifungal Therapy,Terbinafine,750 mg,Every 8 hours,12 hours,13-18,Cygnus Life Sciences,99.4%,"Drowsiness, Dizziness, Loss of appetite",₹487.58
Diarrhea,Antimotility / Rehydration Therapy,ORS Combo,150 mg,Twice daily - Morning & Night,2 hours,51-65,PurePath Pharma,99.0%,"Mild rash, None reported",₹416.99
Common Cold,Symptomatic Relief,Chlorpheniramine,650 mg,Once daily - Night,10 hours,36-50,MedLife Labs,96.2%,"Nausea, Constipation, Insomnia",₹531.80
Asthma,Bronchodilator Therapy,Budesonide,300 mg,Once daily - Night,6 hours,51-65,Vitacore Pharmaceuticals,96.9%,Drowsiness,₹461.07
Cough & Cold,Antitussive Therapy,Dextromethorphan,1000 mg,Twice daily - Morning & Night,4 hours,0-12,Cygnus Life Sciences,99.4%,Nausea,₹184.35
Common Cold,Rest & Hydration,Cetrizine,250 mg,Every 8 hours,24 hours,19-35,Vitacore Pharmaceuticals,98.2%,"Insomnia, Nausea, Constipation",₹641.07
Cough & Cold,Antitussive Therapy,Dextromethorphan,50 mg,Every 8 hours,6 hours,65+,Horizon Meds,97.4%,"Constipation, Drowsiness",₹360.75
Insomnia,Sedative Therapy,Doxylamine,650 mg,After meals,6 hours,36-50,PurePath Pharma,98.1%,"None reported, Blurred vision",₹15.50
Vitamin D Deficiency,Supplementation,Cholecalciferol,100 mg,Every 6 hours,24 hours,51-65,Greenfield Biotech,96.6%,"Blurred vision, Insomnia",₹175.30
Type 2 Diabetes,Oral Hypoglycemic Therapy,Metformin,300 mg,Once daily - Morning,2 hours,51-65,Zenith Biocare,97.4%,"Constipation, Fatigue",₹547.65
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,25 mg,Once daily - Night,12 hours,51-65,Horizon Meds,99.3%,"Loss of appetite, Headache",₹668.53
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,750 mg,Twice daily - Morning & Night,2 hours,19-35,Nova Health,96.2%,Dizziness,₹481.27
Type 2 Diabetes,Oral Hypoglycemic Therapy,Sitagliptin,200 mg,Before meals,12 hours,65+,Cygnus Life Sciences,99.0%,"Fatigue, Headache",₹277.05
Common Cold,Antihistamine Therapy,Paracetamol,750 mg,Once daily - Morning,6 hours,19-35,TrueMed Industries,97.5%,Stomach upset,₹711.83
Iron Deficiency Anemia,Supplementation,Ferrous Sulfate,200 mg,As needed (SOS),10 hours,0-12,Vitacore Pharmaceuticals,97.5%,"Fatigue, Stomach upset",₹138.57
Hypertension,ACE Inhibitor Therapy,Losartan,100 mg,Twice daily - Morning & Night,12 hours,0-12,TrueMed Industries,96.1%,"Nausea, Dry mouth, Loss of appetite",₹661.22
Asthma,Steroid Inhalation,Salbutamol,300 mg,Once daily - Morning,4 hours,19-35,MedLife Labs,98.6%,Headache,₹21.47
Fever,Antipyretic Therapy,Aspirin,5 mg,As needed (SOS),8 hours,51-65,MedLife Labs,99.3%,"Insomnia, Blurred vision, Loss of appetite",₹675.89
Hypothyroidism,Hormone Replacement Therapy,Levothyroxine,50 mg,Once weekly,6 hours,36-50,MedLife Labs,98.1%,"Loss of appetite, Diarrhea, Headache",₹393.81
Osteoporosis,Supplementation,Calcium + Vitamin D3,10 mg,Once daily - Morning,4 hours,65+,Sunrise Pharma,95.4%,"Dizziness, None reported",₹509.93
Chronic Pain,Analgesic Therapy,Tramadol,100 mg,Once daily - Morning,8 hours,19-35,Wellspring Rx,95.6%,"Insomnia, Blurred vision",₹600.74
Bacterial Infection,Antibiotic Therapy,Azithromycin,250 mg,Every 6 hours,12 hours,65+,Silver Cross Pharma,99.2%,"Diarrhea, Blurred vision, Mild rash",₹92.82
Chronic Pain,Analgesic Therapy,Paracetamol,50 mg,Twice daily - Morning & Night,12 hours,51-65,Silver Cross Pharma,98.7%,Headache,₹41.57
Chronic Pain,Analgesic Therapy,Paracetamol,750 mg,Every 6 hours,18 hours,65+,TrueMed Industries,98.5%,None reported,₹532.03
Anxiety Disorder,Anxiolytic Therapy,Escitalopram,150 mg,Before meals,2 hours,0-12,TrueMed Industries,98.1%,"Mild rash, None reported, Blurred vision",₹468.86
Urinary Tract Infection,Antibiotic Therapy,Amoxicillin,2.5 mg,Twice daily - Morning & Night,6 hours,36-50,Horizon Meds,95.1%,"Drowsiness, Diarrhea, Constipation",₹243.68
Fever,Antipyretic Therapy,Paracetamol,50 mg,Once weekly,4 hours,0-12,TrueMed Industries,99.4%,Fatigue,₹279.11
Chronic Pain,Analgesic Therapy,Diclofenac,300 mg,As needed (SOS),10 hours,36-50,Silver Cross Pharma,99.9%,Fatigue,₹670.85
Bacterial Infection,Antibiotic Therapy,Doxycycline,200 mg,Twice daily - Morning & Night,6 hours,19-35,PurePath Pharma,97.4%,Constipation,₹214.34
Headache,Analgesic Therapy,Ibuprofen,250 mg,After meals,2 hours,65+,TrueMed Industries,96.2%,"None reported, Headache",₹228.06
Skin Infection (Fungal),Antifungal Therapy,Terbinafine,1000 mg,Before meals,12 hours,65+,TrueMed Industries,97.6%,Headache,₹726.94
Insomnia,Sedative Therapy,Zolpidem,25 mg,Once daily - Night,6 hours,19-35,Silver Cross Pharma,95.8%,"Headache, Insomnia, Diarrhea",₹740.98
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,100 mg,Once daily - Morning,10 hours,13-18,TrueMed Industries,96.0%,Loss of appetite,₹291.54
Bacterial Infection,Antibiotic Therapy,Ciprofloxacin,750 mg,Once daily - Morning,6 hours,51-65,Zenith Biocare,99.9%,"Diarrhea, None reported",₹25.34
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,150 mg,Twice daily - Morning & Night,8 hours,13-18,Wellspring Rx,95.6%,Mild rash,₹537.26
Chronic Pain,Analgesic Therapy,Diclofenac,750 mg,Every 6 hours,10 hours,13-18,Greenfield Biotech,98.4%,"Headache, Insomnia",₹318.80
Anxiety Disorder,Anxiolytic Therapy,Alprazolam,1000 mg,Once daily - Night,6 hours,19-35,Cygnus Life Sciences,95.4%,"Blurred vision, Stomach upset",₹439.11
Cough & Cold,Antitussive Therapy,Levocetirizine Combo,5 mg,Every 8 hours,18 hours,65+,TrueMed Industries,99.9%,"Drowsiness, Headache, Diarrhea",₹688.48
